"","id","total_productos","productos_distintos","dias_activos","media_compras_por_semana","compras_entre_semana","compras_fin_de_semana","Cluster"
"36569","cf9ced8d92e4d6e9463f4c3f7a493d2f",44,38,2,22,44,13,"2"
"36570","cf9d03d6ace77ad595b29e2a31612f8f",24,24,2,24,24,21,"2"
"36571","cf9d83bb31536fc0396e4cdeed14dc12",74,50,2,24.6666666666667,74,21,"3"
"36572","cfa0243482ab9c8370ebe82b709c0de4",146,109,2,48.6666666666667,146,43,"3"
"36573","cfa59d77f8c5209c22b7f07b283dadab",249,76,2,8,8,76,"3"
"36574","cfa5f9ce9ed22f992af5baee28f11de2",35,35,2,35,35,16,"2"
"36575","cfa8a59fa3ded67a2a39ad932b7eb3cf",22,20,2,11,22,1,"2"
"36576","cfa980f692bd44b1a35060acc0d9b07c",34,34,2,34,34,16,"2"
"36577","cfaaf461736b6ce6a8db84671b2f2733",46,41,3,15.3333333333333,46,7,"2"
"36578","cfad73094199dff6e90279cabbffd574",29,29,2,29,29,16,"2"
"36579","cfaed48797c7d8760f1356d728fe7427",183,96,3,26.1428571428571,183,21,"1"
"36580","cfaf25a2f401aa8d33f8a5a3509461b6",273,110,3,45.6666666666667,150,67,"1"
"36581","cfb039265fd39366eafc060fc1480235",42,42,2,42,42,20,"2"
"36582","cfb053d60120e9943054faea5a50e6cd",14,14,2,14,14,12,"2"
"36583","cfb083552dd60ccb8d63d5ce29999f5a",68,58,2,34,68,19,"2"
"36584","cfb0a7b9b438d64674f0254c224c32fd",217,113,3,43.4,217,31,"1"
"36585","cfb1f086e0320c0aee19234434accc25",73,56,2,24.3333333333333,73,18,"3"
"36586","cfb2f02fe6834344a0d31bacfa119aa3",43,37,3,14.3333333333333,43,11,"2"
"36587","cfb40ecebee5001716f44e88a8e5a5c0",128,95,3,42.6666666666667,59,69,"3"
"36588","cfb5838aa0144d6d65dff2c613ce4129",29,29,2,29,29,16,"2"
"36589","cfb603fbbc128729dee5975556bc65d5",34,33,2,34,34,16,"2"
"36590","cfb7a3a7e626c4c49bbad888b4b96489",219,113,3,54.75,177,42,"1"
"36591","cfbc83efa2508fec9093adae558ba1e1",18,18,3,18,16,18,"2"
"36592","cfbe8ab6156528076ab66b614f0c7278",11,10,2,10,2,6,"2"
"36593","cfbfaa132d18cac85eeb8a64da9c53e8",11,10,2,10,1,6,"2"
"36594","cfc015b7b8f537d74fd0bf097be9e1fb",102,63,3,25.5,77,25,"3"
"36595","cfc15ed145b065266d37a1b700883249",33,25,2,16.5,33,11,"2"
"36596","cfc234000d8451ae48eafcc877573eae",71,54,2,35.5,1,71,"2"
"36597","cfc35eb47c475db26e1078ff47038c54",108,80,2,54,108,50,"3"
"36598","cfc5d72c0fb39844ff56d8af3d80fd7c",36,36,2,36,36,22,"2"
"36599","cfc83105d1693d6ce51ab4a18ff3ef65",165,104,3,33,135,30,"3"
"36600","cfc973f09ae9b9754264a74bd396a79a",57,45,2,28.5,30,27,"2"
"36601","cfc9b240c03b98eda0fca945b6d61f68",28,28,2,28,28,14,"2"
"36602","cfce03f6a994c30e6c3d6361324c7886",62,54,2,31,62,21,"2"
"36603","cfcf7a824240660f3f1d1f5f47cb0d99",276,119,3,39.75,164,73,"1"
