id_cliente_enc,total_productos,productos_distintos,dias_activos,compras_por_semana,compras_entre_semana,compras_fin_de_semana,grupo_preferido,Cluster
4c764d2542a936a0b9e5f2e454cf6f9e,117,117,1,819,117,0,09351,3
589975738080a26ca9d19f141ff61774,96,71,2,336,29,67,05040,3
b34836164e53be5ca03096a83bda27f6,40,38,2,140,15,25,01026,1
36377a992186a06848c4e78424d9c4ee,119,78,3,277.6666666666667,119,0,01012,3
98f55875b6e7e9fdd95a4212a2a05f75,102,40,3,238,68,34,08231,3
f2e49a85ba463632686e5638f53dae6e,17,17,1,119,17,0,03070,1
5de9754ae03718eb0e7681f86aaba69a,64,44,2,224,39,25,09130,2
9704cdce454a65675a998cd366975911,110,65,4,192.5,86,24,01012,3
f33f8e713c4e612d0b78e1ac7b79d502,469,227,2,1641.5,363,106,01026,4
abb23f86f4877d70b2567e99ff8b658f,95,62,3,221.66666666666669,95,0,01012,3
0704cf4e641470d925212d3e6b8a3e69,110,82,3,256.6666666666667,110,0,09030,3
ca3399a0a710bdcf430dcac04247ced5,79,60,3,184.33333333333334,37,42,05040,3
b5df8b4cb0b837470a97cbbb0c34e180,63,63,1,441,63,0,03070,2
972ba6023d91df395cae6efd16811996,90,69,3,210,90,0,05040,3
6893d57835a26343a38afc12f46195d0,45,45,1,315,45,0,01012,1
61038666dc20383fc3bb116606dc111a,9,9,1,63,9,0,02620,1
883fb445a2bc1ad3d2d75f9989294354,40,34,2,140,40,0,11100,1
118e70cc06e647336a4e39ea02f8a1aa,35,32,2,122.5,35,0,03070,1
b1baca61116a61211b2cdf88aac8b03d,584,151,3,1362.6666666666667,409,175,01085,4
f823b141737d69bb354243b457de2c41,153,94,4,267.75,109,44,01012,3
346f21a217ec749b96bd74c5e9fe1f1c,25,25,1,175,25,0,03033,1
2f836ee9b6bc534fb29b5f72470204dd,8,8,1,56,8,0,14301,1
d0f2a4fb1fb1c665ab3ed94cf539e660,55,43,3,128.33333333333334,55,0,05030,2
7439535c1f2152881711848b797c8ab1,554,148,1,3878,0,554,01013,4
1bef1b784525fc3271214c91de953062,21,21,1,147,21,0,05040,1
13d75a1537fcc18fbfee38bfa0802e99,30,30,1,210,30,0,01085,1
d4be3754a989c620f7cb28395e2341c5,143,97,2,500.5,39,104,05030,3
f44cdf94beb5834dc815b0f61b3c0257,34,34,1,238,34,0,02690,1
2486582b8cd16510b7b288891176f435,187,93,3,436.33333333333337,187,0,05040,3
2d06760c7957c3b816f15598ffcd9cfb,658,174,3,1535.3333333333335,496,162,01013,4
625f3d804d9e7bd3550a135b08f0f3ba,382,146,3,891.3333333333334,382,0,01085,4
0355bc96dd36f6827912c12a85effb4f,19,19,1,133,19,0,01026,1
30ed581de0f4f6b6c309c12d009a35af,42,42,1,294,42,0,08314,1
