"cod_est","descripcion"
"05100198","QUESO FRESCO UF OTROS"
"05100301","QUESOS INFANTILES BOLA"
"05100302","QUESOS INFANTILES OTROS"
"05100310","QUESO INFANTIL PACK MERIENDA"
"05100401","QUESO FUNDIDO PORCIONES ENTERA"
"05100402","QUESO FUNDIDO PORCION SALUD"
"05100501","QUESO FUNDIDO LONCHAS ENTERA"
"05100502","QUESO FUNDIDO LONCHAS SALUD"
"05100601","QUESO UNTAR NATURAL"
"05100602","QUESO UNTAR SABORES"
"05100604","QUESO UNTAR PREMIUM"
"05100610","QUESO UNTAR SALUD"
"05100615","QUESO UNTAR FUNDIDOS"
"05100801","QUESO RALLADO EMMENTAL"
"05100802","QUESO RALLADO MOZZARELLA"
"05100803","QUESO RALLADO MEZCLAS"
"05100804","QUESO RALLADO POLVO"
"05100810","QUESO RALLADO SALUD"
"05100890","SOLUCIONES  VEGANAS "
"05100898","QUESO RALLADO OTROS"
"05100901","MEMBRILLOS BASICOS Y DULCES"
"05100905","MEMBRILLOS PREMIUM"
"05100910","MEMBRILLOS SALUD"
